Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Скорик;Богодар;Тимофійович;Ч;1959-03-09;Редактор; Дубно;проспект Аптекарський, буд. 99 кв. 270, Дубно, 29620;006 705 83 91;hlibdrozdenko@example.net
Гуцуляк;Єфрем;Васильович;Ч;1995-09-11;Кур'єр; Торецьк;набережна Кузнечна, буд. 3 кв. 6, Торецьк, 17093;524-74-35;iaroslavaivanychuk@example.com
Щорс;Варвара;Тимофіївна;Ж;1974-11-06;Модельєр; Бобровиця;набережна Вокзальний, буд. 37 кв. 4, Бобровиця, 83091;+380 (16) 890-95-44;albertmazur@example.net
Носенко;Галина;Вікторівна;Ж;1978-09-21;Літературознавець; Татарбунари;узвіз 1-ша Лінія Марії Демченко, буд. 63 кв. 718, Татарбунари, 80011;+380 04 023-04-39;artemenkosnizhana@example.org
Ткач;Ілля;Анатолійович;Ч;1979-12-11;Підприємець; Жмеринка;вулиця Садова 2-га, буд. 961, Жмеринка, 92261;023 537-43-14;mazepaiosyp@example.org
Яковенко;Юстина;Кузьмівна;Ж;1990-04-29;Фольклорист; Шахтарськ;шосе Матроська Слобідка, буд. 936 кв. 53, Шахтарськ, 49523;501-72-08;rostyslavprymachenko@example.net
Шиян;Роман;Анатолійович;Ч;1982-05-06;Фотограф; Українськ;сквер Коцебу міст, буд. 2, Українськ, 86138;+380 (22) 197-64-63;ldeineko@example.org
Талан;Леон;Іванович;Ч;1997-06-18;Ді-джей; Золотоноша;вулиця Спартаківська, буд. 879 кв. 01, Золотоноша, 55680;+380 (89) 604-60-82;oleh10@example.org
Запорожець;Ганна;Володимирівна;Ж;1959-05-07;Мікробіолог; Тлумач;сквер Бібліотечна, буд. 5 кв. 1, Тлумач, 39809;818 90 26;alevtyn38@example.com
Шовкопляс;Онисим;Федорович;Ч;1990-10-02;Золотар; Святогірськ;вулиця Кришталевий, буд. 90 кв. 1, Святогірськ, 58892;+380 52 023-11-89;ostap77@example.org
Затула;Віталій;Георгійович;Ч;1987-09-13;Фармацевт; Білицьке;парк Москеті, буд. 28, Білицьке, 52981;+380 29 834-05-43;olhadziuba@example.com
Вишиваний;Аліна;Володимирівна;Ж;1939-10-22;Промисловець; Броди;проспект Мазепи Івана, буд. 8, Броди, 02643;+380 86 269 56 08;ieromenkoartem@example.com
Тесленко;Єлисавета;Кузьмівна;Ж;1971-12-27;Головний меркшейдер; Брянка;провулок Плієва, буд. 850 кв. 46, Брянка, 97420;059 085 63 79;cbarabash@example.net
Скоробогатько;Аарон;Аркадійович;Ч;2000-07-17;Юрист; Ананьїв;парк Окружна, буд. 0, Ананьїв, 54112;485-86-07;venhrynovychsofiia@example.org
Вдовиченко;Еріка;Петрівна;Ж;1992-04-10;Складальник; Амвросіївка;проспект Садова 3-тя, буд. 808 кв. 772, Амвросіївка, 61272;+380 29 229 28 31;zoriannestaiko@example.net
Рубець;Пармен;Ярославович;Ч;2004-08-23;Фізик; Сновськ;набережна Кінна, буд. 5, Сновськ, 81750;+380 69 433 59 87;iefrem18@example.net
Корсун;Венедикт;Євгенович;Ч;1986-09-29;Мовознавець; Городок;набережна Обсерваторний, буд. 7, Городок, 91284;000 514-93-56;sviatoslavtsiupa@example.net
Скоробогатько;Едита;Володимирівна;Ж;2006-02-12;Краєзнавець; Жовква;набережна Крайня, буд. 1 кв. 5, Жовква, 02619;061 782 64 34;khomaandriichuk@example.org
Дейнека;Теодор;Георгійович;Ч;1961-02-26;Секретар; Олевськ;площа Леваневського, буд. 4, Олевськ, 56856;+380 58 729 29 58;nataliia30@example.com
Верхола;Орест;Тимофійович;Ч;1959-02-13;Нотаріус; Бердичів;площа Шовкуненка, буд. 34, Бердичів, 20984;010 816-90-85;hrytsenkosofiia@example.com
Шахрай;Тарас;Юрійович;Ч;1972-10-17;Архітектор; Київ;проспект Палубна, буд. 234, Київ, 26348;+380 (22) 621-13-34;qonishchuk@example.org
Штепа;Єва;Ярославівна;Ж;2003-08-23;Пекар; Ізюм;парк Собінова, буд. 612 кв. 809, Ізюм, 01957;028 474-60-68;kalenychenkoihnat@example.org
Їжак;Ольга;Василівна;Ж;1985-12-28;Антрополог; Помічна;узвіз Красний, буд. 357 кв. 92, Помічна, 39262;061 959 41 35;rprymachenko@example.org
Кабалюк;Пилип;Олександрович;Ч;1950-11-11;Зоолог; Ковель;парк Лузанівський, буд. 26, Ковель, 76848;026 689-93-60;shylooleksa@example.org
Чайка;Ігнат;Володимирович;Ч;1943-09-30;Геофізик; Городня;узвіз Водопровідний 2-й, буд. 52 кв. 0, Городня, 11161;+380 31 187 27 52;alevtyn38@example.org
Єрьоменко;Євген;Андрійович;Ч;1970-09-29;Доцент; Покров;узвіз 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 37, Покров, 21942;038 667 29 48;mlevchenko@example.com
Барабаш;Вадим;Олександрович;Ч;1945-01-10;Реставратор; Ржищів;узвіз 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Ржищів, 56805;+380 12 434 56 34;ievhen12@example.com
Жадан;Сніжана;Кузьмівна;Ж;1950-09-14;Ґрунтознавець; Заводське;вулиця Бессарабська, буд. 710, Заводське, 65245;+380 36 827 71 49;aleksiukveniiamyn@example.com
Смик;Ада;Петрівна;Ж;1988-02-18;Літературознавець; Горлівка;сквер Степна, буд. 7 кв. 9, Горлівка, 99086;+380 62 857-69-42;vitaliiandriienko@example.org
Малишко;Ліза;Іванівна;Ж;1961-03-14;Журналіст; Теплодар;набережна Вознесенський, буд. 173, Теплодар, 01236;+380 (87) 315-46-23;bohodarpetrenko@example.com
Вернигора;Ігнат;Петрович;Ч;1961-06-04;Паблік рилейшнз; Вільногірськ;набережна Лиманчик 2-й Лінія 5-та, буд. 4 кв. 709, Вільногірськ, 27516;+380 78 464-57-81;xvdovychenko@example.com
Орлик;Макар;Олександрович;Ч;1948-08-23;Стиліст; Золоте;узвіз Фестивальний, буд. 202 кв. 445, Золоте, 48686;076 463 99 06;ihordzyndra@example.com
Савенко;Гаврило;Кузьмич;Ч;1989-08-13;Шериф; Прип'ять ;парк Китобійний 1-й, буд. 81 кв. 67, Прип'ять , 87567;+380 98 508-80-29;rudkoolena@example.com
Оберемко;Климент;Петрович;Ч;1945-09-25;Електротехнік; Тисмениця;шосе Зелена балка, буд. 774 кв. 3, Тисмениця, 96305;088 546-72-71;atsiupa@example.com
Жук;Алевтин;Євгенович;Ч;1983-06-09;Кінокритик; Родинське;узвіз Вапняний 3-й, буд. 7, Родинське, 79595;087 413-97-95;sliusardanna@example.net
Парасюк;Розалія;Олександрівна;Ж;1990-01-13;Біолог; Полтава;проспект Березова, буд. 34 кв. 600, Полтава, 68655;003 463-71-04;rmasliak@example.net
Гоголь;Валентин;Андрійович;Ч;1969-09-23;Фізик; Житомир;парк Пейзажна, буд. 668, Житомир, 69709;098 010-68-82;zlatoslavavatamaniuk@example.net
Іваничук;Олена;Федорівна;Ж;1954-08-23;Петрограф; Малин;узвіз Дунаєва, буд. 262 кв. 981, Малин, 54067;+380 25 408 33 52;telizhenkoieva@example.net
Онищенко;Святослава;Іванівна;Ж;1989-09-09;Ювелір; Остер ;набережна Гагаріна, буд. 756 кв. 3, Остер , 92887;002 704 27 18;andrusenkoanita@example.org
Лубенець;Леонтій;Юрійович;Ч;1940-02-21;Детектив; Кілія;узвіз Чорноморський, буд. 3 кв. 8, Кілія, 66941;+380 20 699-60-79;nikoliukaaron@example.org
Салій;Лукʼян;Юрійович;Ч;1983-11-02;Державний службовець; Прилуки;шосе Гранатний, буд. 0, Прилуки, 27272;087 056-23-74;volodymyra14@example.com
Цюпа;Мирон;Федорович;Ч;1977-05-09;Кінорежисер; Гнівань;узвіз Іподромний, буд. 488 кв. 121, Гнівань, 75140;782 67 14;yzatovkaniuk@example.org
Павлик;Ілля;Ярославович;Ч;1981-10-29;Філолог; Лисичанськ;сквер Марата 2-й, буд. 214, Лисичанськ, 03659;495 61 48;erudko@example.net
Євтушок;Зиновій;Кузьмич;Ч;1977-11-30;Секретар; Павлоград;набережна Відважних, буд. 668, Павлоград, 21460;+380 57 043-67-77;khaidenko@example.net
Пилипенко;Зиновій;Дмитрович;Ч;1978-07-06;Мовознавець; Родинське;набережна Кар’єрна, буд. 32 кв. 455, Родинське, 80664;+380 49 477-17-39;ezabila@example.net
Стус;Марʼяна;Михайлівна;Ж;1982-01-29;Диригент; Євпаторія;набережна Миколи Вороного, буд. 6 кв. 0, Євпаторія, 16235;099 057-92-35;khudiakivan@example.net
Дробʼязко;Ігор;Іванович;Ч;1957-12-11;Ювелір; Коростень;проспект 40-річчя оборони Одеси, буд. 28 кв. 094, Коростень, 13953;487-82-85;ivasiukoleksandr@example.com
Гавриленко;Христина;Борисівна;Ж;1943-01-16;Каскадер; Білозерське;сквер Травневий 2-й, буд. 705, Білозерське, 14777;027 163-49-48;jsych@example.com
Нестеренко;Устим;Васильович;Ч;2008-09-22;Мікробіолог; Моспине;парк Кутузова, буд. 30, Моспине, 24695;427-89-24;dreva@example.com
Козак;Олена;Андріївна;Ж;1953-08-30;Фольклорист; Перещепине;шосе Льва Симиренка, буд. 2, Перещепине, 66211;294 93 10;frantsokhrimenko@example.com
Шутько;Дан;Кузьмич;Ч;1963-01-20;Маркетолог; Новогродівка;провулок Задніпровського, буд. 4 кв. 212, Новогродівка, 19685;923 32 25;amaliiatokar@example.com
Лесик;Оксенія;Михайлівна;Ж;1955-03-07;Провізор; Решетилівка;сквер Рибальська, буд. 8 кв. 6, Решетилівка, 06809;046 665 55 46;albina80@example.net
Баранець;Варвара;Михайлівна;Ж;1999-08-10;Ді-джей; Рудки;парк Отрадна, буд. 76, Рудки, 06100;894 87 87;aaronasaula@example.org
